genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
MED21,A0A3Q1MIU0,A0A3Q1MIU0_BOVIN,[F-actin]-monooxygenase MICAL1,MICAL1,Bos taurus (Bovine),Reviewed,actin filament depolymerization negative regulation of cysteine-type endopeptidase activity involved in apoptotic process negative regulation of protein phosphorylation regulation of regulated secretory pathway sulfur oxidation,,"Actin-binding, Monooxygenase, Oxidoreductase","FAD, Flavoprotein, Metal-binding, NADP, Zinc"
TM7SF3,A0A4W2F002,A0A4W2F002_BOBOX,[F-actin]-monooxygenase MICAL1,MICAL1,Bos taurus (Bovine),Reviewed,actin filament depolymerization negative regulation of cysteine-type endopeptidase activity involved in apoptotic process negative regulation of protein phosphorylation regulation of regulated secretory pathway sulfur oxidation,,"Actin-binding, Monooxygenase, Oxidoreductase","FAD, Flavoprotein, Metal-binding, NADP, Zinc"
FGFR1OP2,A0A3Q1M7M7,A0A3Q1M7M7_BOVIN,[F-actin]-monooxygenase MICAL1,MICAL1,Bos taurus (Bovine),Reviewed,actin filament depolymerization negative regulation of cysteine-type endopeptidase activity involved in apoptotic process negative regulation of protein phosphorylation regulation of regulated secretory pathway sulfur oxidation,,"Actin-binding, Monooxygenase, Oxidoreductase","FAD, Flavoprotein, Metal-binding, NADP, Zinc"
INTS13,Q2KIB1,Q2KIB1_BOVIN,[F-actin]-monooxygenase MICAL1,MICAL1,Bos taurus (Bovine),Reviewed,actin filament depolymerization negative regulation of cysteine-type endopeptidase activity involved in apoptotic process negative regulation of protein phosphorylation regulation of regulated secretory pathway sulfur oxidation,,"Actin-binding, Monooxygenase, Oxidoreductase","FAD, Flavoprotein, Metal-binding, NADP, Zinc"
LOC112446618,,,,,,,,,,
LOC112446733,,,,,,,,,,
ITPR2,Q8WN96,ITPR2_BOVIN,,,,,,,,
SSPN,E1BKV5,E1BKV5_BOVIN,,,,,,,,
LOC107132515,,,,,,,,,,
BHLHE41,Q5EA15,BHE40_BOVIN,Class E basic helix-loop-helix protein 40,BHLHE40,Bos taurus (Bovine),Reviewed,"anterior/posterior pattern specification Gaudet P. circadian regulation of gene expression circadian rhythm entrainment of circadian clock by photoperiod negative regulation of DNA-binding transcription factor activity negative regulation of transcription, DNA-templated regulation of circadian rhythm regulation of neurogenesis Gaudet P. regulation of transcription by RNA polymerase II Gaudet P.","Biological rhythms, Transcription, Transcription regulation","DNA-binding, Repressor",
MIR2436,,,,,,,,,,
LOC112446734,,,,,,,,,,
LMNTD1,A0A4W2EYZ9,A0A4W2EYZ9_BOBOX,Class E basic helix-loop-helix protein 40,BHLHE40,Bos taurus (Bovine),Reviewed,"anterior/posterior pattern specification Gaudet P. circadian regulation of gene expression circadian rhythm entrainment of circadian clock by photoperiod negative regulation of DNA-binding transcription factor activity negative regulation of transcription, DNA-templated regulation of circadian rhythm regulation of neurogenesis Gaudet P. regulation of transcription by RNA polymerase II Gaudet P.","Biological rhythms, Transcription, Transcription regulation","DNA-binding, Repressor",
KRAS,P32871,PK3CA_BOVIN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,Bos taurus (Bovine),Reviewed,actin cytoskeleton organization adipose tissue development angiogenesis cardiac muscle cell contraction cell migration Gaudet P. cellular response to glucose stimulus cellular response to hydrostatic pressure energy homeostasis glucose metabolic process hypomethylation of CpG island liver development negative regulation of actin filament depolymerization negative regulation of anoikis negative regulation of fibroblast apoptotic process negative regulation of neuron apoptotic process phagocytosis phosphatidylinositol 3-kinase signaling Gaudet P. phosphatidylinositol-3-phosphate biosynthetic process Jimenez C. phosphatidylinositol-mediated signaling Gaudet P. phosphatidylinositol phosphorylation Hiles I.D. positive regulation of lamellipodium assembly Jimenez C. positive regulation of peptidyl-serine phosphorylation positive regulation of protein kinase B signaling protein kinase B signaling regulation of cellular respiration regulation of gene expression regulation of genetic imprinting regulation of multicellular organism growth relaxation of cardiac muscle response to muscle stretch vascular endothelial growth factor signaling pathway,"Angiogenesis, Phagocytosis","Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Nucleotide-binding"
LOC104972526,,,,,,,,,,
ETFRF1,P52505,ACPM_BOVIN,"Acyl carrier protein, mitochondrial",NDUFAB1,Bos taurus (Bovine),Reviewed,"fatty acid biosynthetic process Runswick M.J. mitochondrial electron transport, NADH to ubiquinone Cronan J.E. mitochondrial respiratory chain complex I assembly","Electron transport, Fatty acid biosynthesis, Fatty acid metabolism, Lipid biosynthesis, Lipid metabolism, Respiratory chain, Transport",,
CASC1,Q29RU8,CASC1_BOVIN,,,,,,,,
LRMP,,,,,,,,,,
LOC112446824,,,,,,,,,,
BCAT1,A0A3Q1ML78,A0A3Q1ML78_BOVIN,,,,,,,,
LOC100295631,,,,,,,,,,
SOX5,A0A3Q1MR44,A0A3Q1MR44_BOVIN,,,,,,,,
ETNK1,F1N378,F1N378_BOVIN,,,,,,,,
C2CD5,A0A4W2EYH9,A0A4W2EYH9_BOBOX,,,,,,,,
ST8SIA1,Q6ZXD2,SIA8A_BOVIN,"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase",ST8SIA1,Bos taurus (Bovine),Reviewed,N-glycan processing Gaudet P. oligosaccharide metabolic process Gaudet P. protein glycosylation Gaudet P. sphingolipid metabolic process,"Lipid biosynthesis, Lipid metabolism, Sphingolipid metabolism","Glycosyltransferase, Transferase",
LOC112446735,,,,,,,,,,
LOC112446736,,,,,,,,,,
CMAS,Q3SZM5,NEUA_BOVIN,N-acylneuraminate cytidylyltransferase,CMAS,Bos taurus (Bovine),Reviewed,N-acetylneuraminate metabolic process,,"Nucleotidyltransferase, Transferase",
ABCC9,E1B8L0,E1B8L0_BOVIN,N-acylneuraminate cytidylyltransferase,CMAS,Bos taurus (Bovine),Reviewed,N-acetylneuraminate metabolic process,,"Nucleotidyltransferase, Transferase",
KCNJ8,Q2KHY6,Q2KHY6_BOVIN,N-acylneuraminate cytidylyltransferase,CMAS,Bos taurus (Bovine),Reviewed,N-acetylneuraminate metabolic process,,"Nucleotidyltransferase, Transferase",
GYS2,E1B9X7,E1B9X7_BOVIN,N-acylneuraminate cytidylyltransferase,CMAS,Bos taurus (Bovine),Reviewed,N-acetylneuraminate metabolic process,,"Nucleotidyltransferase, Transferase",
SPX,Q0VC44,SPXN_BOVIN,Spexin,SPX,Bos taurus (Bovine),Reviewed,long-chain fatty acid import into cell negative regulation of appetite negative regulation of heart rate negative regulation of renal sodium excretion positive regulation of gastro-intestinal system smooth muscle contraction Mirabeau O. positive regulation of systemic arterial blood pressure positive regulation of transcription by RNA polymerase II regulation of sensory perception of pain,,Hormone,
GOLT1B,Q2YDE3,GOT1B_BOVIN,Vesicle transport protein GOT1B,GOLT1B,Bos taurus (Bovine),Reviewed,protein transport vesicle-mediated transport,"Protein transport, Transport",,
RECQL,Q2KJ94,RAD51_BOVIN,DNA repair protein RAD51 homolog 1,RAD51,Bos taurus (Bovine),Reviewed,cellular response to camptothecin cellular response to DNA damage stimulus cellular response to hydroxyurea cellular response to ionizing radiation chromosome organization involved in meiotic cell cycle DNA recombinase assembly DNA unwinding involved in DNA replication double-strand break repair via homologous recombination interstrand cross-link repair mitotic recombination-dependent replication fork processing natural killer cell inhibitory signaling pathway Gaudet P. negative regulation of signaling receptor activity Gaudet P. positive regulation of DNA ligation regulation of double-strand break repair via homologous recombination regulation of protein phosphorylation replication-born double-strand break repair via sister chromatid exchange telomere maintenance via recombination telomere maintenance via telomere lengthening,"DNA damage, DNA recombination, DNA repair",DNA-binding,"ATP-binding, Nucleotide-binding"
PYROXD1,A7YVH9,PYRD1_BOVIN,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1,PYROXD1,Bos taurus (Bovine),Reviewed,cellular response to oxidative stress,,Oxidoreductase,"FAD, Flavoprotein, NADP"
SLCO1A2,A0A3Q1N7T3,A0A3Q1N7T3_BOVIN,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1,PYROXD1,Bos taurus (Bovine),Reviewed,cellular response to oxidative stress,,Oxidoreductase,"FAD, Flavoprotein, NADP"
IAPP,Q24K02,IDE_BOVIN,Insulin-degrading enzyme,IDE,Bos taurus (Bovine),Reviewed,amyloid-beta clearance by cellular catabolic process amyloid-beta metabolic process antigen processing and presentation of endogenous peptide antigen via MHC class I bradykinin catabolic process cellular protein catabolic process determination of adult lifespan hormone catabolic process insulin catabolic process peptide catabolic process positive regulation of protein binding proteolysis involved in cellular protein catabolic process Gaudet P. regulation of aerobic respiration ubiquitin recycling,,"Allosteric enzyme, Hydrolase, Metalloprotease, Protease","ATP-binding, Metal-binding, Nucleotide-binding, Zinc"
SLCO1B3,F1MYV0,F1MYV0_BOVIN,Insulin-degrading enzyme,IDE,Bos taurus (Bovine),Reviewed,amyloid-beta clearance by cellular catabolic process amyloid-beta metabolic process antigen processing and presentation of endogenous peptide antigen via MHC class I bradykinin catabolic process cellular protein catabolic process determination of adult lifespan hormone catabolic process insulin catabolic process peptide catabolic process positive regulation of protein binding proteolysis involved in cellular protein catabolic process Gaudet P. regulation of aerobic respiration ubiquitin recycling,,"Allosteric enzyme, Hydrolase, Metalloprotease, Protease","ATP-binding, Metal-binding, Nucleotide-binding, Zinc"
LOC101905711,,,,,,,,,,
LOC112446909,,,,,,,,,,
SLCO1C1,E1BC23,E1BC23_BOVIN,Insulin-degrading enzyme,IDE,Bos taurus (Bovine),Reviewed,amyloid-beta clearance by cellular catabolic process amyloid-beta metabolic process antigen processing and presentation of endogenous peptide antigen via MHC class I bradykinin catabolic process cellular protein catabolic process determination of adult lifespan hormone catabolic process insulin catabolic process peptide catabolic process positive regulation of protein binding proteolysis involved in cellular protein catabolic process Gaudet P. regulation of aerobic respiration ubiquitin recycling,,"Allosteric enzyme, Hydrolase, Metalloprotease, Protease","ATP-binding, Metal-binding, Nucleotide-binding, Zinc"
PDE3A,O46382,BIG1_BOVIN,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,ARFGEF1,Bos taurus (Bovine),Reviewed,endomembrane system organization Golgi organization negative regulation of actin filament polymerization negative regulation of GTPase activity positive regulation of protein glycosylation in Golgi positive regulation of wound healing protein transport regulation of ARF protein signal transduction regulation of establishment of cell polarity,"Protein transport, Transport",Guanine-nucleotide releasing factor,
LMO3,Q2KIA3,LMO3_BOVIN,,,,,,,,
LOC618358,,,,,,,,,,
MGST1,Q64L89,MGST1_BOVIN,,,,,,,,
SLC15A5,F1N3P6,F1N3P6_BOVIN,,,,,,,,
DERA,P67808,YBOX1_BOVIN,Y-box-binding protein 1,YBX1,Bos taurus (Bovine),Reviewed,cellular response to interleukin-7 CRD-mediated mRNA stabilization embryonic morphogenesis epidermis development in utero embryonic development miRNA transport mRNA processing mRNA stabilization negative regulation of cellular senescence negative regulation of striated muscle cell differentiation negative regulation of transcription by RNA polymerase II negative regulation of translation positive regulation of cell division regulation of gene expression Gaudet P. RNA splicing RNA transport tRNA transport,"mRNA processing, mRNA splicing, Transcription, Transcription regulation","Activator, DNA-binding, Mitogen, Repressor, RNA-binding",
LOC338087,,,,,,,,,,
STRAP,P67939,P53_BOVIN,Cellular tumor antigen p53,TP53,Bos taurus (Bovine),Reviewed,"autophagy B cell lineage commitment bone marrow development cardiac septum morphogenesis cell aging cellular response to actinomycin D cellular response to DNA damage stimulus cellular response to drug cellular response to gamma radiation cellular response to glucose starvation cellular response to UV-C cerebellum development chromatin assembly circadian behavior determination of adult lifespan DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator DNA strand renaturation double-strand break repair embryonic organ development entrainment of circadian clock by photoperiod ER overload response gastrulation hematopoietic stem cell differentiation interferon-gamma-mediated signaling pathway intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress intrinsic apoptotic signaling pathway in response to hypoxia in utero embryonic development mitochondrial DNA repair mitotic cell cycle arrest mRNA transcription multicellular organism growth necroptotic process negative regulation of apoptotic process negative regulation of cell growth negative regulation of DNA replication negative regulation of fibroblast proliferation negative regulation of glucose catabolic process to lactate via pyruvate negative regulation of mitophagy negative regulation of neuroblast proliferation negative regulation of pentose-phosphate shunt negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of proteolysis negative regulation of reactive oxygen species metabolic process negative regulation of telomerase activity negative regulation of transcription, DNA-templated negative regulation of transcription by RNA polymerase II negative regulation of transforming growth factor beta receptor signaling pathway neuron apoptotic process nucleotide-excision repair oligodendrocyte apoptotic process oxidative stress-induced premature senescence positive regulation of apoptotic process positive regulation of cardiac muscle cell apoptotic process positive regulation of cell aging positive regulation of execution phase of apoptosis positive regulation of histone deacetylation positive regulation of intrinsic apoptotic signaling pathway positive regulation of mitochondrial membrane permeability positive regulation of neuron apoptotic process positive regulation of peptidyl-tyrosine phosphorylation positive regulation of pri-miRNA transcription by RNA polymerase II positive regulation of production of miRNAs involved in gene silencing by miRNA positive regulation of programmed necrotic cell death positive regulation of reactive oxygen species metabolic process positive regulation of release of cytochrome c from mitochondria positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of thymocyte apoptotic process positive regulation of transcription by RNA polymerase II positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress positive regulation of transcription from RNA polymerase II promoter in response to hypoxia protein import into nucleus protein stabilization protein tetramerization Ras protein signal transduction regulation of cellular senescence regulation of DNA damage response, signal transduction by p53 class mediator regulation of fibroblast apoptotic process regulation of intrinsic apoptotic signaling pathway by p53 class mediator regulation of mitochondrial membrane permeability involved in apoptotic process regulation of tissue remodeling regulation of transcription by RNA polymerase II Gaudet P. regulation of transcription from RNA polymerase II promoter in response to DNA damage release of cytochrome c from mitochondria replicative senescence response to ischemia response to salt stress response to X-ray rRNA transcription somitogenesis T cell differentiation in thymus T cell lineage commitment T cell proliferation involved in immune response transforming growth factor beta receptor signaling pathway tumor necrosis factor-mediated signaling pathway viral process","Apoptosis, Biological rhythms, Cell cycle, Necrosis, Transcription, Transcription regulation","Activator, DNA-binding, Repressor","Metal-binding, Zinc"
